Year,Tms,#Fld,R/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,PB,WP,SB,CS,CS%,PO
2022,30,1488,4.28,4860,9.00,6.74,79.2,35.91,26.59,8.79,0.53,0.81,.985,18.5,0.05,0.33,0.51,0.17,24.6%,0.06
2021,30,1501,4.53,4858,9.00,6.74,78.95,35.52,26.32,8.66,0.54,0.79,.985,18.1,0.07,0.38,0.46,0.15,24.3%,0.06
2020,30,1279,4.65,1796,9.00,6.67,77.52,34.92,25.84,8.50,0.58,0.80,.983,17.9,0.08,0.38,0.49,0.16,24.9%,0.07
2019,30,1400,4.83,4858,9.00,6.68,80.45,36.46,26.82,9.05,0.60,0.83,.984,18.1,0.07,0.37,0.47,0.17,26.7%,0.07
2018,30,1376,4.45,4862,9.00,6.75,80.50,36.59,26.83,9.18,0.57,0.84,.984,18.5,0.08,0.38,0.51,0.20,27.9%,0.07
2017,30,1354,4.65,4860,9.00,6.82,80.11,36.75,26.70,9.46,0.58,0.91,.984,18.7,0.08,0.37,0.52,0.19,27.0%,0.07
2016,30,1343,4.48,4856,9.00,6.84,80.26,37.08,26.75,9.74,0.58,0.89,.984,18.9,0.08,0.37,0.52,0.21,28.3%,0.07
2015,30,1343,4.25,4858,9.00,6.81,80.42,37.43,26.81,10.04,0.58,0.90,.984,19.2,0.07,0.36,0.52,0.22,29.8%,0.08
2014,30,1313,4.07,4860,9.00,6.90,80.2,37.43,26.92,9.91,0.60,0.87,.984,19.3,0.07,0.35,0.57,0.21,27.2%,0.08
2013,30,1299,4.17,4862,9.00,6.90,80.81,37.50,26.94,10.00,0.56,0.90,.985,19.4,0.07,0.36,0.55,0.21,27.2%,0.07
2012,30,1278,4.32,4860,9.00,6.87,80.29,37.42,26.76,10.03,0.62,0.88,.983,19.4,0.08,0.32,0.66,0.23,26.0%,0.09
2011,30,1284,4.28,4858,9.00,6.93,80.64,37.66,26.88,10.15,0.63,0.87,.983,19.9,0.07,0.32,0.67,0.26,27.8%,0.09
2010,30,1246,4.38,4860,9.00,6.93,80.20,37.40,26.73,10.04,0.62,0.90,.983,19.9,0.06,0.34,0.61,0.23,27.6%,0.08
2009,30,1256,4.61,4860,9.00,6.96,80.13,37.27,26.71,9.97,0.59,0.93,.984,20.0,0.06,0.33,0.61,0.23,27.6%,0.08
2008,30,1273,4.65,4856,9.00,6.83,80.36,37.52,26.79,10.12,0.61,0.94,.984,20.2,0.06,0.32,0.58,0.21,27.0%,0.07
2007,30,1270,4.80,4862,9.00,6.82,80.38,37.52,26.79,10.11,0.61,0.96,.984,20.3,0.07,0.31,0.60,0.21,25.6%,0.07
2006,30,1230,4.86,4858,9.00,6.87,80.14,37.57,26.71,10.23,0.63,0.96,.983,20.4,0.07,0.31,0.57,0.23,28.6%,0.07
2005,30,1225,4.59,4862,9.00,6.93,80.03,37.58,26.68,10.28,0.63,0.95,.983,20.6,0.06,0.30,0.53,0.22,29.4%,0.08
2004,30,1241,4.81,4856,9.00,6.88,80.1,37.72,26.81,10.25,0.65,0.93,.983,20.4,0.07,0.30,0.53,0.23,29.8%,0.07
2003,30,1221,4.73,4860,9.00,6.88,80.25,37.78,26.75,10.38,0.65,0.94,.983,20.6,0.07,0.32,0.53,0.23,30.6%,0.08
2002,30,1212,4.62,4852,9.00,6.83,80.26,37.66,26.75,10.24,0.66,0.94,.982,20.5,0.08,0.31,0.57,0.26,31.8%,0.08
2001,30,1204,4.78,4858,9.00,6.83,80.19,37.59,26.73,10.17,0.69,0.91,.982,20.3,0.07,0.31,0.64,0.29,31.2%,0.09
2000,30,1220,5.14,4858,9.00,6.72,80.12,37.64,26.70,10.22,0.71,0.97,.981,20.5,0.07,0.31,0.60,0.27,31.2%,0.08
1999,30,1200,5.08,4856,9.00,6.71,80.09,37.69,26.70,10.27,0.72,0.96,.981,20.5,0.08,0.34,0.70,0.31,30.7%,0.09
1998,30,1177,4.79,4864,9.00,6.76,80.37,37.94,26.79,10.45,0.71,0.93,.981,20.4,0.08,0.33,0.68,0.31,31.4%,0.07
1997,28,1118,4.77,4532,9.00,6.71,80.1,37.92,26.78,10.43,0.71,0.94,.981,20.3,0.07,0.33,0.73,0.35,32.1%,0.10
1996,28,1130,5.04,4534,9.00,6.68,80.51,38.05,26.84,10.47,0.74,0.96,.981,20.5,0.07,0.34,0.71,0.30,29.3%,0.09
1995,28,1122,4.85,4034,9.00,6.74,80.39,38.17,26.80,10.66,0.72,0.95,.981,20.6,0.09,0.35,0.73,0.31,30.0%,0.10
