Year,Tms,G,Time,Time/9I,Inn,Inn%,R/G,PA/G,Pitches/PA,Batters/G,Pitchers/G,PH/G,PR/G,Batters/S,Pitchers/S,Attendance,Attend/G,Lg Payroll*,Payroll/Tm*
2022,30,2430,3:06,3:03,216,8.89,8.57,74.9,3.89,10.3,4.30,0.67,0.18,26.1,32.4,64556658,26566,$3999596925,$133319897
2021,30,2429,3:11,3:10,216,8.89,9.06,74.8,3.91,10.3,4.43,1.22,0.13,26.5,34.4,45304109,18651,$3616337893,$120544596
2020,30,898,3:06,3:07,68,7.57,9.29,74.0,3.97,10.4,4.43,0.65,0.23,20.7,25.7,,,,
2019,30,2429,3:10,3:05,208,8.56,9.66,76.8,3.93,10.3,4.41,1.18,0.14,24.9,31.0,68506896,28203,$3981486706,$132716223
2018,30,2431,3:04,3:00,216,8.89,8.90,76.1,3.90,10.4,4.36,1.16,0.16,24.7,29.7,69671272,28659,$3964555103,$132151836
2017,30,2430,3:08,3:05,182,7.49,9.29,76.2,3.89,10.3,4.22,1.13,0.15,24.2,28.0,72678797,29908,$3983892634,$132796421
2016,30,2428,3:04,3:00,185,7.62,8.96,76.0,3.88,10.4,4.15,1.12,0.16,24.2,27.5,73159044,30131,$3761011880,$125367062
2015,30,2429,3:00,2:56,212,8.73,8.50,75.6,3.83,10.4,4.11,1.16,0.18,24.5,27.0,73719340,30349,$3680887206,$122696240
2014,30,2430,3:07,3:02,232,9.55,8.13,75.7,3.83,10.3,3.98,1.14,0.17,24.8,24.8,73739622,30345,$3398869156,$113295638
2013,30,2431,3:04,2:58,243,10.00,8.33,76.0,3.84,10.3,3.95,1.12,0.17,24.5,24.2,74027037,30451,$3150727861,$105024262
2012,30,2430,3:00,2:55,192,7.90,8.65,75.8,3.83,10.3,3.99,1.14,0.18,24.7,24.1,74859268,30806,$2950092506,$98336416
2011,30,2429,2:56,2:51,237,9.76,8.57,76.3,3.82,10.3,3.86,1.08,0.19,24.5,23.6,73425667,30228,$2872256542,$95741884
2010,30,2430,2:54,2:50,220,9.05,8.77,76.3,3.83,10.3,3.87,1.14,0.18,24.0,22.8,73061763,30066,$2757480197,$91916006
2009,30,2430,2:55,2:51,195,8.02,9.23,77.0,3.83,10.3,3.93,1.12,0.16,23.7,24.3,73430580,30218,$2791645244,$93054841
2008,30,2428,2:55,2:50,208,8.57,9.30,77.3,3.81,10.4,3.92,1.18,0.19,24.5,23.3,78624315,32382,$2694090063,$89803002
2007,30,2431,2:55,2:51,220,9.05,9.59,77.6,3.77,10.5,3.97,1.18,0.20,23.9,23.9,79484718,32696,$2499198987,$83306632
2006,30,2429,2:51,2:48,185,7.62,9.72,77.4,3.76,10.4,3.85,1.15,0.19,23.8,23.3,76043902,31306,$2337874617,$77929153
2005,30,2431,2:49,2:46,182,7.49,9.18,76.6,3.74,10.4,3.71,1.16,0.18,23.5,21.8,74915268,30816,$2189013398,$72967113
2004,30,2428,2:51,2:47,218,8.98,9.63,77.6,3.77,10.4,3.76,1.15,0.19,23.7,22.7,73022972,30075,$2078657943,$69288598
2003,30,2430,2:49,2:46,197,8.11,9.46,77.1,3.74,10.4,3.67,1.17,0.19,23.7,22.5,67630052,27831,$2128862128,$70962070
2002,30,2426,2:56,2:52,201,8.29,9.24,76.9,3.74,10.5,3.63,1.16,0.21,23.4,22.0,67944389,28006,$2028877522,$67629250
2001,30,2429,2:58,2:54,196,8.07,9.55,77.0,3.73,10.5,3.63,1.18,0.19,24.4,21.7,72581101,29881,$1969086313,$65636210
2000,30,2429,3:01,2:57,202,8.32,10.28,78.3,3.76,10.6,3.54,1.19,0.23,25.1,22.5,71358907,29377,$1685767602,$56192253
1999,30,2428,2:57,2:53,191,7.87,10.17,78.1,3.74,10.6,3.56,1.19,0.19,23.2,21.4,70139380,28887,$1503589250,$50119641
1998,30,2432,2:52,2:47,207,8.51,9.58,77.4,,10.6,3.46,1.18,0.19,24.2,20.8,70601147,29030,$1285345371,$42844845
1997,28,2266,2:56,2:52,196,8.65,9.53,77.5,,10.6,3.50,1.23,0.22,24.5,21.2,63168689,27876,$1127440885,$40265745
1996,28,2267,2:55,2:51,218,9.62,10.07,78.2,,10.7,3.44,1.27,0.21,24.9,21.1,60097381,26509,$958715050,$34239823
1995,28,2017,2:54,2:50,180,8.92,9.69,77.7,,10.7,3.45,1.31,0.21,23.5,22.1,50469236,25021,$951698367,$33989227
1994,28,1600,2:57,2:53,143,8.94,9.85,77.8,,10.4,3.33,1.15,0.19,19.9,17.6,50010016,31256,$928257287,$33152045
1993,28,2269,2:52,2:48,196,8.64,9.20,76.9,,10.6,3.27,1.22,0.22,23.3,19.8,70257938,30964,$903115234,$32254115
1992,26,2106,2:54,2:49,210,9.97,8.23,76.2,,10.7,3.15,1.24,0.22,23.8,18.2,55870466,26529,$803497323,$30903743
1991,26,2104,2:54,2:48,220,10.46,8.62,76.4,3.68,10.9,3.13,1.34,0.26,24.2,19.2,56813760,27002,$613253418,$23586669
1990,26,2105,2:51,2:47,182,8.65,8.51,76.2,,10.8,3.02,1.32,0.24,24.2,20.0,54823768,26044,$460267193,$17702584
1989,26,2106,2:50,2:45,192,9.12,8.26,76.0,,10.7,2.88,1.27,0.23,24.3,18.8,55173096,26198,$375490540,$14441943
1988,26,2100,2:49,2:45,197,9.38,8.28,75.9,,10.6,2.75,1.18,0.26,23.6,17.7,52998904,25237,$319514557,$12289021
1987,26,2105,2:52,2:47,200,9.50,9.45,76.9,,10.7,2.89,1.30,0.21,24.0,18.0,52011506,24708,$304799122,$11723043
1986,26,2103,2:48,2:44,220,10.46,8.82,76.5,,10.8,2.80,1.30,0.25,23.6,17.4,47506203,22589,$307547018,$11828731
1985,26,2103,2:44,2:39,205,9.75,8.66,76.2,,10.8,2.74,1.34,0.26,22.6,16.8,46824379,22265,$264965530,$10190981
1984,26,2105,2:39,2:35,203,9.64,8.51,76.3,,10.9,2.65,1.37,0.25,23.3,16.0,44742863,21255,,
1983,26,2109,2:40,2:36,190,9.01,8.62,76.1,,10.8,2.60,1.24,0.25,23.5,16.0,45540338,21593,,
1982,26,2107,2:40,2:35,212,10.06,8.60,76.5,,10.7,2.62,1.23,0.24,23.4,15.5,44587874,21161,,
1981,26,1394,2:38,2:33,142,10.19,8.00,76.0,,10.9,2.67,1.31,0.29,22.7,14.4,26544376,19041,,
1980,26,2105,2:38,2:33,211,10.02,8.58,76.6,,10.8,2.56,1.27,0.28,23.2,15.1,43014136,20434,,
1979,26,2099,2:35,2:31,183,8.72,8.92,76.4,,10.6,2.52,1.15,0.27,22.3,16.1,43550398,20748,,
