last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Abrams, CJ,682928,---,,SS,-7,-9,-4,-1,-6,1,-7,-1,74%,76%,-2%
Abreu, José,547989,White Sox,,1B,0,1,-2,2,1,0,0,1,73%,72%,1%
Acuña Jr., Ronald,660670,Braves,,RF,-6,-7,0,-2,-4,-1,-5,-2,87%,91%,-4%
Adames, Willy,642715,Brewers,,SS,7,10,8,6,-5,1,7,2,78%,76%,2%
Adell, Jo,666176,Angels,,LF,-3,-3,1,-3,-1,-1,-5,2,86%,88%,-2%
Aguilar, Jesús,542583,---,,1B,0,0,-1,1,1,-1,-1,1,73%,73%,0%
Albies, Ozzie,645277,Braves,,2B,3,4,2,1,2,-1,3,1,73%,71%,2%
Alcántara, Sergio,642727,---,,SS,-1,-1,3,-4,-1,1,3,-4,73%,74%,-1%
Allen, Nick,669397,Athletics,,SS,7,9,-2,6,6,-1,3,6,80%,78%,2%
Alonso, Pete,624413,Mets,,1B,-6,-8,1,-6,-3,1,-2,-5,68%,71%,-3%
Altuve, Jose,514888,Astros,,2B,1,2,4,-4,1,0,1,1,74%,74%,0%
Anderson, Brian,605119,Marlins,,3B,-5,-6,-5,2,-1,-1,-4,-2,74%,76%,-2%
Anderson, Tim,641313,White Sox,,SS,-1,-2,-1,2,-2,-1,-4,2,71%,71%,0%
Andrus, Elvis,462101,---,,SS,3,3,12,0,-7,-2,8,-4,73%,73%,0%
Aquino, Aristides,606157,Reds,,RF,1,1,-1,0,1,1,0,2,89%,88%,1%
Arcia, Orlando,606115,Braves,,SS,-3,-3,-1,1,-1,-2,-4,2,77%,79%,-2%
Arenado, Nolan,571448,Cardinals,,3B,11,14,4,6,4,0,13,1,73%,70%,3%
Arozarena, Randy,668227,Rays,,LF,0,0,2,-2,0,-1,0,0,86%,86%,0%
Arraez, Luis,650333,Twins,,2B,-3,-4,-2,-1,-1,1,-6,2,79%,81%,-2%
Arroyo, Christian,624414,Red Sox,,2B,-5,-5,1,-2,-5,0,-3,-2,73%,76%,-3%
Azocar, José,640492,Padres,,CF,7,8,3,0,2,2,7,1,95%,90%,5%
Baddoo, Akil,668731,Tigers,,CF,-1,-1,-1,0,3,-2,1,-1,90%,91%,-1%
Bader, Harrison,664056,---,,CF,6,7,3,3,1,0,1,5,94%,91%,3%
Barrero, Jose,676480,Reds,,SS,-1,-2,0,-2,0,0,-1,-1,73%,74%,-1%
Bell, Josh,605137,---,,1B,-3,-4,-1,-5,-1,2,-1,-4,72%,74%,-2%
Bellinger, Cody,641355,Dodgers,,CF,6,7,-1,4,2,2,5,2,91%,89%,2%
Belt, Brandon,474832,Giants,,1B,-3,-4,-1,-3,2,-1,-5,2,69%,71%,-2%
Benintendi, Andrew,643217,---,,LF,0,0,1,1,-3,1,-1,1,89%,89%,0%
Berti, Jon,542932,Marlins,,3B,3,4,4,0,1,-1,1,2,77%,76%,1%
Betts, Mookie,605141,Dodgers,,RF,4,4,2,0,0,2,1,3,89%,87%,2%
Bichette, Bo,666182,Blue Jays,,SS,-5,-7,-10,1,0,2,-12,5,75%,76%,-1%
Biggio, Cavan,624415,Blue Jays,,2B,6,7,1,4,1,1,2,5,79%,76%,3%
Bogaerts, Xander,593428,Red Sox,,SS,4,5,6,-2,1,-1,-3,8,77%,76%,1%
Bohm, Alec,664761,Phillies,,3B,-6,-9,1,-8,-1,0,-9,0,69%,71%,-2%
Bradley Jr., Jackie,598265,---,,CF,6,7,0,3,3,1,4,2,86%,84%,2%
Bregman, Alex,608324,Astros,,3B,6,8,1,0,4,2,6,2,72%,71%,1%
Bride, Jonah,681146,Athletics,,2B,0,0,0,1,-2,1,1,-1,68%,68%,0%
Brown, Seth,664913,Athletics,,RF,-6,-7,2,-5,0,-4,-5,-2,80%,82%,-2%
Báez, Javier,595879,Tigers,,SS,1,1,4,4,-6,1,2,-1,73%,73%,0%
Calhoun, Kole,594777,Rangers,,RF,-1,-1,0,1,-1,-1,-1,0,86%,86%,0%
Candelario, Jeimer,600869,Tigers,,3B,-4,-6,4,-2,-6,-2,-5,-1,69%,70%,-1%
Canha, Mark,592192,Mets,,LF,-1,-2,-1,0,-3,2,1,-2,86%,86%,0%
Carlson, Dylan,666185,Cardinals,,CF,3,3,-1,1,3,1,3,1,86%,85%,1%
Castellanos, Nick,592206,Phillies,,RF,-9,-10,-1,-4,-3,-1,-4,-6,81%,85%,-4%
Castillo, Diego,660636,Pirates,,SS,-1,-2,-1,2,-2,-1,1,-2,73%,74%,-1%
Castro, Harold,605612,Tigers,,2B,-10,-13,-5,-6,0,-2,-12,-1,66%,71%,-5%
Castro, Rodolfo,666801,Pirates,,2B,-3,-4,-5,-1,2,0,0,-4,75%,76%,-1%
Castro, Willi,650489,Tigers,,2B,0,0,2,2,-3,-2,-1,1,82%,82%,0%
Celestino, Gilberto,665482,Twins,,CF,2,2,0,1,2,-1,1,2,90%,89%,1%
Chang, Yu,644374,---,,2B,2,3,2,0,0,0,0,3,82%,80%,2%
Chapman, Matt,656305,Blue Jays,,3B,1,1,2,-1,-1,1,3,-1,73%,72%,1%
Chavis, Michael,656308,Pirates,,1B,-4,-6,0,-1,0,-5,-6,0,64%,66%,-2%
